DIMENSION 2-D
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f1;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B3),1);=FLOOR.XCL(-LOG10(C3),1);=FLOOR.XCL(-LOG10(D3),1);=FLOOR.XCL(-LOG10(E3),1);=FLOOR.XCL(-LOG10(F3),1);=FLOOR.XCL(-LOG10(G3),1);=FLOOR.XCL(-LOG10(H3),1);=FLOOR.XCL(-LOG10(I3),1);=FLOOR.XCL(-LOG10(J3),1);=FLOOR.XCL(-LOG10(K3),1);=FLOOR.XCL(-LOG10(L3),1);=FLOOR.XCL(-LOG10(M3),1);=FLOOR.XCL(-LOG10(N3),1);=FLOOR.XCL(-LOG10(O3),1);=FLOOR.XCL(-LOG10(P3),1)
f2;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B4),1);=FLOOR.XCL(-LOG10(C4),1);=FLOOR.XCL(-LOG10(D4),1);=FLOOR.XCL(-LOG10(E4),1);=FLOOR.XCL(-LOG10(F4),1);=FLOOR.XCL(-LOG10(G4),1);=FLOOR.XCL(-LOG10(H4),1);=FLOOR.XCL(-LOG10(I4),1);=FLOOR.XCL(-LOG10(J4),1);=FLOOR.XCL(-LOG10(K4),1);=FLOOR.XCL(-LOG10(L4),1);=FLOOR.XCL(-LOG10(M4),1);=FLOOR.XCL(-LOG10(N4),1);=FLOOR.XCL(-LOG10(O4),1);=FLOOR.XCL(-LOG10(P4),1)
f3;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B5),1);=FLOOR.XCL(-LOG10(C5),1);=FLOOR.XCL(-LOG10(D5),1);=FLOOR.XCL(-LOG10(E5),1);=FLOOR.XCL(-LOG10(F5),1);=FLOOR.XCL(-LOG10(G5),1);=FLOOR.XCL(-LOG10(H5),1);=FLOOR.XCL(-LOG10(I5),1);=FLOOR.XCL(-LOG10(J5),1);=FLOOR.XCL(-LOG10(K5),1);=FLOOR.XCL(-LOG10(L5),1);=FLOOR.XCL(-LOG10(M5),1);=FLOOR.XCL(-LOG10(N5),1);=FLOOR.XCL(-LOG10(O5),1);=FLOOR.XCL(-LOG10(P5),1)
f4;9.9496e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;9.9496e-01;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B6),1);=FLOOR.XCL(-LOG10(C6),1);=FLOOR.XCL(-LOG10(D6),1);=FLOOR.XCL(-LOG10(E6),1);=FLOOR.XCL(-LOG10(F6),1);=FLOOR.XCL(-LOG10(G6),1);=FLOOR.XCL(-LOG10(H6),1);=FLOOR.XCL(-LOG10(I6),1);=FLOOR.XCL(-LOG10(J6),1);=FLOOR.XCL(-LOG10(K6),1);=FLOOR.XCL(-LOG10(L6),1);=FLOOR.XCL(-LOG10(M6),1);=FLOOR.XCL(-LOG10(N6),1);=FLOOR.XCL(-LOG10(O6),1);=FLOOR.XCL(-LOG10(P6),1)
f5;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.4211e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B7),1);=FLOOR.XCL(-LOG10(C7),1);=FLOOR.XCL(-LOG10(D7),1);=FLOOR.XCL(-LOG10(E7),1);=FLOOR.XCL(-LOG10(F7),1);=FLOOR.XCL(-LOG10(G7),1);=FLOOR.XCL(-LOG10(H7),1);=FLOOR.XCL(-LOG10(I7),1);=FLOOR.XCL(-LOG10(J7),1);=FLOOR.XCL(-LOG10(K7),1);=FLOOR.XCL(-LOG10(L7),1);=FLOOR.XCL(-LOG10(M7),1);=FLOOR.XCL(-LOG10(N7),1);=FLOOR.XCL(-LOG10(O7),1);=FLOOR.XCL(-LOG10(P7),1)
f6;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;2.8422e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B8),1);=FLOOR.XCL(-LOG10(C8),1);=FLOOR.XCL(-LOG10(D8),1);=FLOOR.XCL(-LOG10(E8),1);=FLOOR.XCL(-LOG10(F8),1);=FLOOR.XCL(-LOG10(G8),1);=FLOOR.XCL(-LOG10(H8),1);=FLOOR.XCL(-LOG10(I8),1);=FLOOR.XCL(-LOG10(J8),1);=FLOOR.XCL(-LOG10(K8),1);=FLOOR.XCL(-LOG10(L8),1);=FLOOR.XCL(-LOG10(M8),1);=FLOOR.XCL(-LOG10(N8),1);=FLOOR.XCL(-LOG10(O8),1);=FLOOR.XCL(-LOG10(P8),1)
f7;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B9),1);=FLOOR.XCL(-LOG10(C9),1);=FLOOR.XCL(-LOG10(D9),1);=FLOOR.XCL(-LOG10(E9),1);=FLOOR.XCL(-LOG10(F9),1);=FLOOR.XCL(-LOG10(G9),1);=FLOOR.XCL(-LOG10(H9),1);=FLOOR.XCL(-LOG10(I9),1);=FLOOR.XCL(-LOG10(J9),1);=FLOOR.XCL(-LOG10(K9),1);=FLOOR.XCL(-LOG10(L9),1);=FLOOR.XCL(-LOG10(M9),1);=FLOOR.XCL(-LOG10(N9),1);=FLOOR.XCL(-LOG10(O9),1);=FLOOR.XCL(-LOG10(P9),1)
f8;8.8789e-10;2.2283e-11;1.5163e-11;1.8616e-11;1.0987e-05;5.6673e-11;1.4678e-07;8.8676e-12;4.5297e-12;6.8212e-13;1.9596e-08;1.0622e-07;2.4138e-07;1.3135e-10;1.0402e-11;;=FLOOR.XCL(-LOG10(B10),1);=FLOOR.XCL(-LOG10(C10),1);=FLOOR.XCL(-LOG10(D10),1);=FLOOR.XCL(-LOG10(E10),1);=FLOOR.XCL(-LOG10(F10),1);=FLOOR.XCL(-LOG10(G10),1);=FLOOR.XCL(-LOG10(H10),1);=FLOOR.XCL(-LOG10(I10),1);=FLOOR.XCL(-LOG10(J10),1);=FLOOR.XCL(-LOG10(K10),1);=FLOOR.XCL(-LOG10(L10),1);=FLOOR.XCL(-LOG10(M10),1);=FLOOR.XCL(-LOG10(N10),1);=FLOOR.XCL(-LOG10(O10),1);=FLOOR.XCL(-LOG10(P10),1)
f9;1.6200e-12;3.4299e-08;1.0000e-14;1.1369e-13;1.0000e-14;9.9271e-10;1.0000e-14;5.4570e-12;1.0000e-14;1.0000e-14;1.1962e-08;2.9132e-13;1.5541e-10;5.2969e-09;1.0000e-14;;=FLOOR.XCL(-LOG10(B11),1);=FLOOR.XCL(-LOG10(C11),1);=FLOOR.XCL(-LOG10(D11),1);=FLOOR.XCL(-LOG10(E11),1);=FLOOR.XCL(-LOG10(F11),1);=FLOOR.XCL(-LOG10(G11),1);=FLOOR.XCL(-LOG10(H11),1);=FLOOR.XCL(-LOG10(I11),1);=FLOOR.XCL(-LOG10(J11),1);=FLOOR.XCL(-LOG10(K11),1);=FLOOR.XCL(-LOG10(L11),1);=FLOOR.XCL(-LOG10(M11),1);=FLOOR.XCL(-LOG10(N11),1);=FLOOR.XCL(-LOG10(O11),1);=FLOOR.XCL(-LOG10(P11),1)
f10;2.4216e+00;1.3963e+00;3.8957e-01;5.5207e-01;8.8544e-04;1.0407e+01;3.6482e-01;7.8230e-02;1.0191e-01;1.8722e-06;3.0281e+01;8.4258e-01;8.7129e-03;4.9415e-01;3.0906e+00;;=FLOOR.XCL(-LOG10(B12),1);=FLOOR.XCL(-LOG10(C12),1);=FLOOR.XCL(-LOG10(D12),1);=FLOOR.XCL(-LOG10(E12),1);=FLOOR.XCL(-LOG10(F12),1);=FLOOR.XCL(-LOG10(G12),1);=FLOOR.XCL(-LOG10(H12),1);=FLOOR.XCL(-LOG10(I12),1);=FLOOR.XCL(-LOG10(J12),1);=FLOOR.XCL(-LOG10(K12),1);=FLOOR.XCL(-LOG10(L12),1);=FLOOR.XCL(-LOG10(M12),1);=FLOOR.XCL(-LOG10(N12),1);=FLOOR.XCL(-LOG10(O12),1);=FLOOR.XCL(-LOG10(P12),1)
f11;7.4569e-07;1.6928e+00;7.8019e-02;1.5368e+01;5.3925e-01;1.5677e+00;8.1681e-01;1.6495e+00;7.6067e-03;1.9780e+00;3.6242e-02;5.4904e-05;3.7186e+00;4.9511e+00;7.4741e-02;;=FLOOR.XCL(-LOG10(B13),1);=FLOOR.XCL(-LOG10(C13),1);=FLOOR.XCL(-LOG10(D13),1);=FLOOR.XCL(-LOG10(E13),1);=FLOOR.XCL(-LOG10(F13),1);=FLOOR.XCL(-LOG10(G13),1);=FLOOR.XCL(-LOG10(H13),1);=FLOOR.XCL(-LOG10(I13),1);=FLOOR.XCL(-LOG10(J13),1);=FLOOR.XCL(-LOG10(K13),1);=FLOOR.XCL(-LOG10(L13),1);=FLOOR.XCL(-LOG10(M13),1);=FLOOR.XCL(-LOG10(N13),1);=FLOOR.XCL(-LOG10(O13),1);=FLOOR.XCL(-LOG10(P13),1)
f12;1.0000e-14;1.0000e-14;1.1653e-01;7.4853e-02;1.0000e-14;2.8197e+00;2.5131e+00;1.3815e-02;1.0000e-14;6.5814e-03;2.8765e-02;6.9303e-03;2.7574e-03;1.8450e-01;1.0000e-14;;=FLOOR.XCL(-LOG10(B14),1);=FLOOR.XCL(-LOG10(C14),1);=FLOOR.XCL(-LOG10(D14),1);=FLOOR.XCL(-LOG10(E14),1);=FLOOR.XCL(-LOG10(F14),1);=FLOOR.XCL(-LOG10(G14),1);=FLOOR.XCL(-LOG10(H14),1);=FLOOR.XCL(-LOG10(I14),1);=FLOOR.XCL(-LOG10(J14),1);=FLOOR.XCL(-LOG10(K14),1);=FLOOR.XCL(-LOG10(L14),1);=FLOOR.XCL(-LOG10(M14),1);=FLOOR.XCL(-LOG10(N14),1);=FLOOR.XCL(-LOG10(O14),1);=FLOOR.XCL(-LOG10(P14),1)
f13;5.9579e-04;8.5380e-07;1.6735e-02;2.6036e-04;4.0383e-04;4.1204e-04;7.9452e-03;1.3094e-02;3.0385e-03;1.2577e-04;5.3051e-05;8.1719e-02;4.2583e-02;6.2732e-02;3.1286e-02;;=FLOOR.XCL(-LOG10(B15),1);=FLOOR.XCL(-LOG10(C15),1);=FLOOR.XCL(-LOG10(D15),1);=FLOOR.XCL(-LOG10(E15),1);=FLOOR.XCL(-LOG10(F15),1);=FLOOR.XCL(-LOG10(G15),1);=FLOOR.XCL(-LOG10(H15),1);=FLOOR.XCL(-LOG10(I15),1);=FLOOR.XCL(-LOG10(J15),1);=FLOOR.XCL(-LOG10(K15),1);=FLOOR.XCL(-LOG10(L15),1);=FLOOR.XCL(-LOG10(M15),1);=FLOOR.XCL(-LOG10(N15),1);=FLOOR.XCL(-LOG10(O15),1);=FLOOR.XCL(-LOG10(P15),1)
f14;6.7843e-11;5.5429e-05;1.2831e-07;4.2029e-08;9.1660e-06;2.5627e-05;1.4190e-07;1.3761e-06;2.3600e-07;1.6489e-06;5.4558e-05;1.0980e-09;8.8825e-07;8.9650e-06;2.4030e-05;;=FLOOR.XCL(-LOG10(B16),1);=FLOOR.XCL(-LOG10(C16),1);=FLOOR.XCL(-LOG10(D16),1);=FLOOR.XCL(-LOG10(E16),1);=FLOOR.XCL(-LOG10(F16),1);=FLOOR.XCL(-LOG10(G16),1);=FLOOR.XCL(-LOG10(H16),1);=FLOOR.XCL(-LOG10(I16),1);=FLOOR.XCL(-LOG10(J16),1);=FLOOR.XCL(-LOG10(K16),1);=FLOOR.XCL(-LOG10(L16),1);=FLOOR.XCL(-LOG10(M16),1);=FLOOR.XCL(-LOG10(N16),1);=FLOOR.XCL(-LOG10(O16),1);=FLOOR.XCL(-LOG10(P16),1)
f15;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.XCL(-LOG10(B17),1);=FLOOR.XCL(-LOG10(C17),1);=FLOOR.XCL(-LOG10(D17),1);=FLOOR.XCL(-LOG10(E17),1);=FLOOR.XCL(-LOG10(F17),1);=FLOOR.XCL(-LOG10(G17),1);=FLOOR.XCL(-LOG10(H17),1);=FLOOR.XCL(-LOG10(I17),1);=FLOOR.XCL(-LOG10(J17),1);=FLOOR.XCL(-LOG10(K17),1);=FLOOR.XCL(-LOG10(L17),1);=FLOOR.XCL(-LOG10(M17),1);=FLOOR.XCL(-LOG10(N17),1);=FLOOR.XCL(-LOG10(O17),1);=FLOOR.XCL(-LOG10(P17),1)
